Mstar,class_star,qir,log(S8/S45),log(S58/S36),log(S45/S36)
0.874077872,0.992460361,0.621077776,0.80215203,0.793889715,0.644337694
0.884718093,4.45E-05,0.635463689,0.483209868,0.557346432,0.560716719
0.920479907,0.002245025,0.538026816,0.533122831,0.683474141,0.519336439
0.878369527,0.992074634,0.653456783,0.733166212,0.765083604,0.686698643
0.935797083,0.000234677,0.608291531,0.488463249,0.431281613,0.202979144
0.9010904,0.027972802,0.655390181,0.698512043,0.494745749,0.328713498
0.950462212,0.011705349,0.605293912,0.884127949,0.9326547,0.770154852
0.93384687,0.028708833,0.485894382,0.448460784,0.43626073,0.241891255
0.927877676,0.000124584,0.592030372,0.481644049,0.574856091,0.532182087
0.926360185,7.88E-05,0.649896563,0.554963021,0.508865245,0.350786819
0.941392832,0.954095473,0.629399687,0.655577569,0.73473807,0.618814
0.910426528,0.102488548,0.55848037,0.513997735,0.431219402,0.478348148
0.873793343,0.02683605,0.68960367,0.669077269,0.480748749,0.230603094
0.8812741,0.028707022,0.6592702,0.853986581,0.461035172,0.140996145
0.904012756,5.10E-05,0.621993175,0.622348027,0.621286501,0.569459351
0.867521243,0.028609709,0.74007056,0.874279688,0.474669247,0.338820952
0.912827246,0.000898755,0.653313343,0.492355064,0.511719866,0.174659173
0.888488111,0.000234978,0.568505908,0.521743467,0.551331321,0.179210315
0.91552435,0.000212034,0.617031618,0.500422387,0.402603676,0.239894634
0.872764887,0.000252589,0.570522189,0.579888758,0.459642495,0.287207112
0.862202911,0.004281338,0.588335683,0.721825493,0.458497864,0.378438032
0.903817142,9.37E-05,0.612655639,0.49711512,0.51613782,0.199202601
0.86123551,0.028679851,0.62731384,0.748338577,0.44595956,0.201692061
0.928660132,0.045641472,0.33988511,0.38213837,0.462265409,0.233183091
0.915133121,0.000762598,0.616061834,0.512735207,0.475385658,0.07760935
0.909732987,0.028714972,0.557242147,0.640492282,0.520244787,0.228452921
0.921819567,0.901536679,0.393399975,0.430470614,0.435054334,0.165931817
0.897782744,0.028544197,0.598241359,0.620042619,0.585676824,0.48019584
0.921019327,0.077421529,0.470705661,0.587196946,0.513786235,0.386337967
0.79662951,0.022634313,0.630855098,0.908283009,0.505011363,0.119847275
0.907865761,0.000296868,0.62666154,0.476997042,0.451239732,0.099460479
0.83821351,0.000898755,0.614228908,0.856146891,0.537649554,0.43999423
0.877782685,0.905406729,0.590706988,0.580967235,0.638573618,0.451902352
0.904048323,0.02376714,0.59302606,0.529799679,0.47551158,0.425864539
0.896200048,0.000258627,0.616104061,0.490710814,0.555813064,0.548850539
0.884718093,0.000396394,0.596575677,0.377324369,0.581293711,0.475089756
0.908256989,1.38E-05,0.627820495,0.547005377,0.509334387,0.140940424
0.885933272,0.000281672,0.617820629,0.428060778,0.535113949,0.154044955
0.909839685,0.028712456,0.626088604,0.485052335,0.464519318,0.077678094
0.925678499,0.00055791,0.627628366,0.494875738,0.442583159,0.179335723
0.938482331,0.02932189,0.579595424,0.534746477,0.440110863,0.162999443
0.921795856,0.000525003,0.605621649,0.378028291,0.387825685,0.157847555
0.870210048,0.110670629,0.632720235,0.602976147,0.671586239,0.530689787
0.912246331,0.601659381,0.622269863,0.339871324,0.616858709,0.491772924
0.90523979,0.026627739,0.618378592,0.49114988,0.606104621,0.605832401
0.913052499,0.028276513,0.614912133,0.532098681,0.419788484,0.125641642
0.819605867,0.028707726,0.638794245,0.925119015,0.518434768,0.114476504
0.893698559,8.86E-05,0.524005808,0.427161724,0.564249268,0.445831668
0.887118812,0.024692563,0.555033094,0.582800344,0.424665154,0.314616324
0.89931209,0.000618793,0.63387453,0.489642112,0.51033974,0.149604368
0.906952896,0.000727779,0.553301494,0.481462051,0.436702023,0.138652131
0.911748405,0.028714267,0.546972513,0.501736089,0.463968372,0.207281151
0.937439056,0.000356241,0.257189033,0.327105167,0.414739433,0.147717932
0.89202102,0.000612856,0.636289811,0.413302206,0.466090693,0.071193059
0.862386077,0.991692329,0.553903749,0.747686626,0.764992621,0.642438985
0.904996755,0.002841881,0.669677137,0.551400927,0.634843446,0.597399108
0.932187114,0.000654216,0.355391214,0.425070957,0.369146455,0.325268682
0.921197158,0.101967872,0.60153619,0.686857369,0.600898883,0.458961442
0.888665942,5.17E-05,0.565297026,0.570967997,0.436546418,0.301591543
0.903787504,0.874519288,0.479404415,0.534252157,0.655810624,0.578286524
0.918215525,0.003125868,0.661218705,0.483118502,0.543683687,0.448797763
0.894629208,0.027798606,0.551702974,0.786162044,0.673588632,0.434128934
0.922287855,0.028672203,0.654648356,0.574918337,0.487755564,0.108522818
0.909454385,0.000221896,0.652065755,0.506176301,0.426641042,0.289140475
0.846109799,0.002090755,0.575277435,0.598066331,0.606065726,0.625539727
0.919246945,0.000193216,0.630173347,0.483006319,0.582351986,0.465168421
